[I 230118 18:17:21 run_worldModel_ensemble:312] {
      "env": "KuaiEnv-v0",
      "resume": false,
      "optimizer": "adam",
      "seed": 0,
      "bpr_weight": 0.5,
      "neg_K": 3,
      "n_models": 1,
      "is_softmax": false,
      "num_trajectory": 200,
      "force_length": 10,
      "top_rate": 0.8,
      "deterministic": true,
      "loss": "pointneg",
      "rankingK": [
        20,
        10,
        5
      ],
      "max_turn": 30,
      "is_all_item_ranking": false,
      "l2_reg_dnn": 0.1,
      "lambda_ab": 10,
      "epsilon": 0.3,
      "is_ucb": false,
      "dnn_activation": "relu",
      "feature_dim": 8,
      "entity_dim": 8,
      "user_model_name": "EpsilonGreedy",
      "dnn": [
        128,
        128
      ],
      "dnn_var": [],
      "batch_size": 4096,
      "epoch": 200,
      "cuda": 1,
      "tau": 0,
      "is_ab": false,
      "message": "epsilon-greedy",
      "all_item_ranking": false,
      "leave_threshold": 0.0,
      "num_leave_compute": 4,
      "is_userinfo": false,
      "is_binarize": false,
      "need_transform": true,
      "entropy_window": [
        1,
        2
      ],
      "yfeat": "watch_ratio_normed",
      "use_userEmbedding": false
    }
[I 230118 19:16:38 utils:50] Epoch: [10], Info: [{'loss': 0.5974287580322173, 'MAE': 0.27882152480027533, 'MSE': 0.3350545368635324, 'RMSE': 0.5788389558966573, 'click_loss': 0.6578463564669608, 'CV': '0.06492', 'CV_turn': '0.39706', 'ctr': 0.748469897154421, 'len_tra': 2.72, 'R_tra': 2.0358381202600255, 'ifeat_feat': 0.8253676470588235, 'NX_0_click_loss': 0.7069638273363547, 'NX_0_CV': '0.11271', 'NX_0_CV_turn': '0.45620', 'NX_0_ctr': 0.7909514546346526, 'NX_0_len_tra': 4.11, 'NX_0_R_tra': 3.250810478548422, 'NX_0_ifeat_feat': 0.8248175182481752, 'NX_10_click_loss': array([0.72681496]), 'NX_10_CV': '0.21791', 'NX_10_CV_turn': '0.36250', 'NX_10_ctr': array([0.81745075]), 'NX_10_len_tra': 10.0, 'NX_10_R_tra': array([8.17450753]), 'NX_10_ifeat_feat': 0.7745}]
[I 230118 19:21:48 utils:50] Epoch: [11], Info: [{'loss': 0.5968341512412615, 'MAE': 0.2821225404418694, 'MSE': 0.3351968955215352, 'RMSE': 0.578961911978271, 'click_loss': 0.7779808697773014, 'CV': '0.05771', 'CV_turn': '0.36641', 'ctr': 0.8436407177117149, 'len_tra': 2.62, 'R_tra': 2.210338680404693, 'ifeat_feat': 0.816793893129771, 'NX_0_click_loss': 0.84263136315734, 'NX_0_CV': '0.11572', 'NX_0_CV_turn': '0.43405', 'NX_0_ctr': 0.9013042918286548, 'NX_0_len_tra': 4.435, 'NX_0_R_tra': 3.997284534260084, 'NX_0_ifeat_feat': 0.7655016910935738, 'NX_10_click_loss': array([0.78201127]), 'NX_10_CV': '0.23324', 'NX_10_CV_turn': '0.38800', 'NX_10_ctr': array([0.85305502]), 'NX_10_len_tra': 10.0, 'NX_10_R_tra': array([8.53055015]), 'NX_10_ifeat_feat': 0.787}]
[I 230118 19:27:04 utils:50] Epoch: [12], Info: [{'loss': 0.596282915018834, 'MAE': 0.2786645756098344, 'MSE': 0.33510891973704166, 'RMSE': 0.5788859298143648, 'click_loss': 0.6646348584784354, 'CV': '0.06222', 'CV_turn': '0.38910', 'ctr': 0.7634391326081325, 'len_tra': 2.66, 'R_tra': 2.0307480927376322, 'ifeat_feat': 0.6109022556390977, 'NX_0_click_loss': 0.7765479047538149, 'NX_0_CV': '0.12353', 'NX_0_CV_turn': '0.45565', 'NX_0_ctr': 0.843684281992512, 'NX_0_len_tra': 4.51, 'NX_0_R_tra': 3.805016111786229, 'NX_0_ifeat_feat': 0.7439024390243902, 'NX_10_click_loss': array([0.78847847]), 'NX_10_CV': '0.23895', 'NX_10_CV_turn': '0.39750', 'NX_10_ctr': array([0.85346572]), 'NX_10_len_tra': 10.0, 'NX_10_R_tra': array([8.53465716]), 'NX_10_ifeat_feat': 0.7875}]
[I 230118 19:32:20 utils:50] Epoch: [13], Info: [{'loss': 0.5960909214351342, 'MAE': 0.2802355800385487, 'MSE': 0.335041979574359, 'RMSE': 0.5788281088322845, 'click_loss': 0.6769675788680986, 'CV': '0.06613', 'CV_turn': '0.40367', 'ctr': 0.7642558739096246, 'len_tra': 2.725, 'R_tra': 2.082597256403727, 'ifeat_feat': 0.7614678899082569, 'NX_0_click_loss': 0.7402045774393485, 'NX_0_CV': '0.11993', 'NX_0_CV_turn': '0.42492', 'NX_0_ctr': 0.830379453911711, 'NX_0_len_tra': 4.695, 'NX_0_R_tra': 3.8986315361154826, 'NX_0_ifeat_feat': 0.8093716719914803, 'NX_10_click_loss': array([0.72309475]), 'NX_10_CV': '0.22994', 'NX_10_CV_turn': '0.38250', 'NX_10_ctr': array([0.80861894]), 'NX_10_len_tra': 10.0, 'NX_10_R_tra': array([8.08618938]), 'NX_10_ifeat_feat': 0.7895}]
[I 230118 19:37:37 utils:50] Epoch: [14], Info: [{'loss': 0.5955395460699443, 'MAE': 0.2819580722403348, 'MSE': 0.3355607681565657, 'RMSE': 0.5792760724875193, 'click_loss': 0.5907613558550103, 'CV': '0.05951', 'CV_turn': '0.36131', 'ctr': 0.5862923682296489, 'len_tra': 2.74, 'R_tra': 1.606441088949238, 'ifeat_feat': 0.8248175182481752, 'NX_0_click_loss': 0.6427895544380694, 'NX_0_CV': '0.10821', 'NX_0_CV_turn': '0.39173', 'NX_0_ctr': 0.6696062926120486, 'NX_0_len_tra': 4.595, 'NX_0_R_tra': 3.0768409145523634, 'NX_0_ifeat_feat': 0.8182807399347116, 'NX_10_click_loss': array([0.5913708]), 'NX_10_CV': '0.21731', 'NX_10_CV_turn': '0.36150', 'NX_10_ctr': array([0.63884345]), 'NX_10_len_tra': 10.0, 'NX_10_R_tra': array([6.38843447]), 'NX_10_ifeat_feat': 0.7855}]
[I 230118 19:42:54 utils:50] Epoch: [15], Info: [{'loss': 0.5954355534546699, 'MAE': 0.2795822832381774, 'MSE': 0.3352724694808429, 'RMSE': 0.5790271750797564, 'click_loss': 0.7709185655317209, 'CV': '0.06372', 'CV_turn': '0.39259', 'ctr': 0.8273482301761533, 'len_tra': 2.7, 'R_tra': 2.233840221475614, 'ifeat_feat': 0.85, 'NX_0_click_loss': 0.8118181273219215, 'NX_0_CV': '0.12053', 'NX_0_CV_turn': '0.43351', 'NX_0_ctr': 0.8937524963592307, 'NX_0_len_tra': 4.625, 'NX_0_R_tra': 4.133605295661442, 'NX_0_ifeat_feat': 0.8291891891891892, 'NX_10_click_loss': array([0.83180425]), 'NX_10_CV': '0.23144', 'NX_10_CV_turn': '0.38500', 'NX_10_ctr': array([0.91666553]), 'NX_10_len_tra': 10.0, 'NX_10_R_tra': array([9.16665528]), 'NX_10_ifeat_feat': 0.8445}]
[I 230118 19:48:12 utils:50] Epoch: [16], Info: [{'loss': 0.5953123832584104, 'MAE': 0.2804705353640604, 'MSE': 0.3350650647495187, 'RMSE': 0.5788480497933104, 'click_loss': 0.7668438334642459, 'CV': '0.06192', 'CV_turn': '0.37319', 'ctr': 0.8526524873585508, 'len_tra': 2.76, 'R_tra': 2.3533208651096005, 'ifeat_feat': 0.7753623188405797, 'NX_0_click_loss': 0.7570561884209377, 'NX_0_CV': '0.11722', 'NX_0_CV_turn': '0.46045', 'NX_0_ctr': 0.8422858060749672, 'NX_0_len_tra': 4.235, 'NX_0_R_tra': 3.567080388727486, 'NX_0_ifeat_feat': 0.8323494687131051, 'NX_10_click_loss': array([0.8052225]), 'NX_10_CV': '0.23445', 'NX_10_CV_turn': '0.39000', 'NX_10_ctr': array([0.89309666]), 'NX_10_len_tra': 10.0, 'NX_10_R_tra': array([8.93096664]), 'NX_10_ifeat_feat': 0.8375}]
[I 230118 19:53:25 utils:50] Epoch: [17], Info: [{'loss': 0.5950690894559385, 'MAE': 0.28025813805011496, 'MSE': 0.3347872229645979, 'RMSE': 0.578608004580474, 'click_loss': 0.9127668140827008, 'CV': '0.06011', 'CV_turn': '0.38835', 'ctr': 1.0401358270066974, 'len_tra': 2.575, 'R_tra': 2.6783497545422454, 'ifeat_feat': 0.858252427184466, 'NX_0_click_loss': 0.9139671739303751, 'NX_0_CV': '0.12414', 'NX_0_CV_turn': '0.45038', 'NX_0_ctr': 0.9805818713756099, 'NX_0_len_tra': 4.585, 'NX_0_R_tra': 4.495967880257171, 'NX_0_ifeat_feat': 0.8658669574700109, 'NX_10_click_loss': array([0.87722237]), 'NX_10_CV': '0.22272', 'NX_10_CV_turn': '0.37050', 'NX_10_ctr': array([0.97283648]), 'NX_10_len_tra': 10.0, 'NX_10_R_tra': array([9.72836479]), 'NX_10_ifeat_feat': 0.863}]
[I 230118 19:58:43 utils:50] Epoch: [18], Info: [{'loss': 0.5947493755777563, 'MAE': 0.2826732630967653, 'MSE': 0.3354836871126875, 'RMSE': 0.5792095364483284, 'click_loss': 0.755640178668241, 'CV': '0.07003', 'CV_turn': '0.42831', 'ctr': 0.852288557644626, 'len_tra': 2.72, 'R_tra': 2.3182248767933826, 'ifeat_feat': 0.8768382352941176, 'NX_0_click_loss': 0.7391360742542371, 'NX_0_CV': '0.11362', 'NX_0_CV_turn': '0.45763', 'NX_0_ctr': 0.8366170294535145, 'NX_0_len_tra': 4.13, 'NX_0_R_tra': 3.455228331643015, 'NX_0_ifeat_feat': 0.8329297820823245, 'NX_10_click_loss': array([0.77728791]), 'NX_10_CV': '0.22152', 'NX_10_CV_turn': '0.36850', 'NX_10_ctr': array([0.87509472]), 'NX_10_len_tra': 10.0, 'NX_10_R_tra': array([8.75094722]), 'NX_10_ifeat_feat': 0.8395}]
[I 230118 20:03:58 utils:50] Epoch: [19], Info: [{'loss': 0.5946639736987188, 'MAE': 0.280346921868256, 'MSE': 0.3352600410886518, 'RMSE': 0.5790164428482596, 'click_loss': 0.7053739224484785, 'CV': '0.06613', 'CV_turn': '0.39356', 'ctr': 0.8269968745170769, 'len_tra': 2.795, 'R_tra': 2.3114562642752303, 'ifeat_feat': 0.6601073345259392, 'NX_0_click_loss': 0.7670287939007691, 'NX_0_CV': '0.13616', 'NX_0_CV_turn': '0.42655', 'NX_0_ctr': 0.8554709839444333, 'NX_0_len_tra': 5.31, 'NX_0_R_tra': 4.542550924744941, 'NX_0_ifeat_feat': 0.7344632768361582, 'NX_10_click_loss': array([0.75421123]), 'NX_10_CV': '0.23384', 'NX_10_CV_turn': '0.38900', 'NX_10_ctr': array([0.84007093]), 'NX_10_len_tra': 10.0, 'NX_10_R_tra': array([8.40070929]), 'NX_10_ifeat_feat': 0.766}]
