[I 230119 08:21:04 policy_utils:47] {
      "env": "KuaiRand-v0",
      "user_model_name": "DeepFM",
      "model_name": "A2C_with_emb",
      "seed": 4,
      "cuda": 7,
      "is_userinfo": false,
      "cpu": false,
      "is_save": false,
      "use_userEmbedding": false,
      "exploration_noise": false,
      "eps": 0.1,
      "freeze_emb": false,
      "reward_handle": "cat",
      "which_tracker": "avg",
      "embedding_dim": 32,
      "window_size": 3,
      "filter_sizes": [
        2,
        3,
        4
      ],
      "num_filters": 16,
      "dropout_rate": 0.1,
      "num_heads": 1,
      "version": "v1",
      "tau": 0,
      "gamma_exposure": 10,
      "lambda_variance": 0.01,
      "lambda_entropy": 0.0,
      "use_exposure_intervention": false,
      "buffer_size": 100000,
      "lr": 0.001,
      "epoch": 200,
      "batch_size": 1024,
      "hidden_sizes": [
        64,
        64
      ],
      "episode_per_collect": 100,
      "training_num": 100,
      "test_num": 100,
      "render": 0,
      "reward_threshold": null,
      "gamma": 0.9,
      "step_per_epoch": 100000,
      "repeat_per_collect": 1,
      "logdir": "log",
      "vf_coef": 0.5,
      "ent_coef": 0.0,
      "max_grad_norm": null,
      "gae_lambda": 1.0,
      "rew_norm": false,
      "read_message": "pointneg",
      "message": "MOPO_s4",
      "is_binarize": true,
      "need_transform": false,
      "entropy_window": [
        1,
        2
      ],
      "rating_threshold": 1,
      "yfeat": "is_click",
      "leave_threshold": 0.0,
      "num_leave_compute": 4,
      "max_turn": 30,
      "force_length": 10,
      "top_rate": 0.8,
      "hostname": "LDS-12"
    }
[I 230119 08:28:12 utils:138] Epoch: [12], Info: [{'num_test': 100, 'CV': '0.00818', 'CV_turn': '0.05996', 'ctr': '0.46255', 'len_tra': 10.34, 'R_tra': 4.782804229240864, 'ifeat_feat': 0.4032882011605416, 'NX_0_CV': '0.01187', 'NX_0_CV_turn': '0.03581', 'NX_0_ctr': '0.43988', 'NX_0_len_tra': 25.13, 'NX_0_R_tra': 11.054171396400779, 'NX_0_ifeat_feat': 0.3740549144448866, 'NX_10_CV': '0.00884', 'NX_10_CV_turn': '0.06700', 'NX_10_ctr': '0.46778', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.677826271671802, 'NX_10_ifeat_feat': 0.402}]
[I 230119 08:28:35 utils:138] Epoch: [13], Info: [{'num_test': 100, 'CV': '0.00686', 'CV_turn': '0.05306', 'ctr': '0.46195', 'len_tra': 9.8, 'R_tra': 4.527128900005482, 'ifeat_feat': 0.47346938775510206, 'NX_0_CV': '0.01147', 'NX_0_CV_turn': '0.03273', 'NX_0_ctr': '0.44913', 'NX_0_len_tra': 26.58, 'NX_0_R_tra': 11.937971274878365, 'NX_0_ifeat_feat': 0.3863807373965388, 'NX_10_CV': '0.00673', 'NX_10_CV_turn': '0.05100', 'NX_10_ctr': '0.45789', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.578924506176263, 'NX_10_ifeat_feat': 0.415}]
[I 230119 08:29:04 utils:138] Epoch: [14], Info: [{'num_test': 100, 'CV': '0.00699', 'CV_turn': '0.04977', 'ctr': '0.45719', 'len_tra': 10.65, 'R_tra': 4.86902762349695, 'ifeat_feat': 0.4084507042253521, 'NX_0_CV': '0.01095', 'NX_0_CV_turn': '0.03123', 'NX_0_ctr': '0.43577', 'NX_0_len_tra': 26.58, 'NX_0_R_tra': 11.582834917195141, 'NX_0_ifeat_feat': 0.37057938299473286, 'NX_10_CV': '0.00633', 'NX_10_CV_turn': '0.04800', 'NX_10_ctr': '0.46328', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.632803097255528, 'NX_10_ifeat_feat': 0.404}]
[I 230119 08:29:26 utils:138] Epoch: [15], Info: [{'num_test': 100, 'CV': '0.00712', 'CV_turn': '0.03704', 'ctr': '0.46812', 'len_tra': 14.58, 'R_tra': 6.825250831632875, 'ifeat_feat': 0.4094650205761317, 'NX_0_CV': '0.00923', 'NX_0_CV_turn': '0.02499', 'NX_0_ctr': '0.42304', 'NX_0_len_tra': 28.01, 'NX_0_R_tra': 11.849263728577643, 'NX_0_ifeat_feat': 0.3402356301320957, 'NX_10_CV': '0.00620', 'NX_10_CV_turn': '0.04700', 'NX_10_ctr': '0.47587', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.758712930120527, 'NX_10_ifeat_feat': 0.393}]
[I 230119 08:29:46 utils:138] Epoch: [16], Info: [{'num_test': 100, 'CV': '0.00580', 'CV_turn': '0.03058', 'ctr': '0.48987', 'len_tra': 14.39, 'R_tra': 7.049265059642494, 'ifeat_feat': 0.37109103544127864, 'NX_0_CV': '0.00910', 'NX_0_CV_turn': '0.02579', 'NX_0_ctr': '0.42620', 'NX_0_len_tra': 26.75, 'NX_0_R_tra': 11.400983297117055, 'NX_0_ifeat_feat': 0.33532710280373834, 'NX_10_CV': '0.00541', 'NX_10_CV_turn': '0.04100', 'NX_10_ctr': '0.47247', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.724709964348003, 'NX_10_ifeat_feat': 0.375}]
[I 230119 08:30:05 utils:138] Epoch: [17], Info: [{'num_test': 100, 'CV': '0.00607', 'CV_turn': '0.02725', 'ctr': '0.45663', 'len_tra': 16.88, 'R_tra': 7.70798675891012, 'ifeat_feat': 0.3056872037914692, 'NX_0_CV': '0.00831', 'NX_0_CV_turn': '0.02334', 'NX_0_ctr': '0.42820', 'NX_0_len_tra': 26.99, 'NX_0_R_tra': 11.557071302444674, 'NX_0_ifeat_feat': 0.34679510929974067, 'NX_10_CV': '0.00475', 'NX_10_CV_turn': '0.03600', 'NX_10_ctr': '0.47915', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.791453205868602, 'NX_10_ifeat_feat': 0.389}]
[I 230119 08:30:25 utils:138] Epoch: [18], Info: [{'num_test': 100, 'CV': '0.00567', 'CV_turn': '0.02529', 'ctr': '0.48276', 'len_tra': 17.0, 'R_tra': 8.206837966069578, 'ifeat_feat': 0.37058823529411766, 'NX_0_CV': '0.00712', 'NX_0_CV_turn': '0.02021', 'NX_0_ctr': '0.44456', 'NX_0_len_tra': 26.72, 'NX_0_R_tra': 11.87851113524288, 'NX_0_ifeat_feat': 0.3536676646706587, 'NX_10_CV': '0.00488', 'NX_10_CV_turn': '0.03700', 'NX_10_ctr': '0.49571', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.957065181322395, 'NX_10_ifeat_feat': 0.412}]
[I 230119 08:30:43 utils:138] Epoch: [19], Info: [{'num_test': 100, 'CV': '0.00488', 'CV_turn': '0.02126', 'ctr': '0.49369', 'len_tra': 17.4, 'R_tra': 8.590242136158048, 'ifeat_feat': 0.3632183908045977, 'NX_0_CV': '0.00778', 'NX_0_CV_turn': '0.02171', 'NX_0_ctr': '0.42812', 'NX_0_len_tra': 27.18, 'NX_0_R_tra': 11.636344098076224, 'NX_0_ifeat_feat': 0.3417954378219279, 'NX_10_CV': '0.00422', 'NX_10_CV_turn': '0.03200', 'NX_10_ctr': '0.49003', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.900292894430459, 'NX_10_ifeat_feat': 0.409}]
[I 230119 08:31:02 utils:138] Epoch: [20], Info: [{'num_test': 100, 'CV': '0.00462', 'CV_turn': '0.01622', 'ctr': '0.51823', 'len_tra': 21.58, 'R_tra': 11.183409926341847, 'ifeat_feat': 0.3484708063021316, 'NX_0_CV': '0.00646', 'NX_0_CV_turn': '0.01875', 'NX_0_ctr': '0.44725', 'NX_0_len_tra': 26.14, 'NX_0_R_tra': 11.691081021446735, 'NX_0_ifeat_feat': 0.3351185921958684, 'NX_10_CV': '0.00435', 'NX_10_CV_turn': '0.03300', 'NX_10_ctr': '0.46931', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.6930940008163455, 'NX_10_ifeat_feat': 0.442}]
[I 230119 08:31:20 utils:138] Epoch: [21], Info: [{'num_test': 100, 'CV': '0.00448', 'CV_turn': '0.01659', 'ctr': '0.48825', 'len_tra': 20.5, 'R_tra': 10.009115020316095, 'ifeat_feat': 0.3473170731707317, 'NX_0_CV': '0.00620', 'NX_0_CV_turn': '0.01726', 'NX_0_ctr': '0.43271', 'NX_0_len_tra': 27.23, 'NX_0_R_tra': 11.782614641021937, 'NX_0_ifeat_feat': 0.3396988615497613, 'NX_10_CV': '0.00409', 'NX_10_CV_turn': '0.03100', 'NX_10_ctr': '0.48311', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.831126076243818, 'NX_10_ifeat_feat': 0.445}]
