[I 230119 08:20:56 policy_utils:47] {
      "env": "KuaiRand-v0",
      "user_model_name": "DeepFM",
      "model_name": "A2C_with_emb",
      "seed": 4,
      "cuda": 7,
      "is_userinfo": false,
      "cpu": false,
      "is_save": false,
      "use_userEmbedding": false,
      "exploration_noise": false,
      "eps": 0.1,
      "freeze_emb": false,
      "reward_handle": "cat",
      "which_tracker": "avg",
      "embedding_dim": 32,
      "window_size": 3,
      "filter_sizes": [
        2,
        3,
        4
      ],
      "num_filters": 16,
      "dropout_rate": 0.1,
      "num_heads": 1,
      "version": "v1",
      "tau": 0,
      "gamma_exposure": 10,
      "lambda_variance": 0.01,
      "lambda_entropy": 0.05,
      "use_exposure_intervention": false,
      "buffer_size": 100000,
      "lr": 0.001,
      "epoch": 200,
      "batch_size": 1024,
      "hidden_sizes": [
        64,
        64
      ],
      "episode_per_collect": 100,
      "training_num": 100,
      "test_num": 100,
      "render": 0,
      "reward_threshold": null,
      "gamma": 0.9,
      "step_per_epoch": 100000,
      "repeat_per_collect": 1,
      "logdir": "log",
      "vf_coef": 0.5,
      "ent_coef": 0.0,
      "max_grad_norm": null,
      "gae_lambda": 1.0,
      "rew_norm": false,
      "read_message": "pointneg",
      "message": "DORL_s4",
      "is_binarize": true,
      "need_transform": false,
      "entropy_window": [
        1,
        2
      ],
      "rating_threshold": 1,
      "yfeat": "is_click",
      "leave_threshold": 0.0,
      "num_leave_compute": 4,
      "max_turn": 30,
      "force_length": 10,
      "top_rate": 0.8,
      "hostname": "LDS-12"
    }
[I 230119 08:27:57 utils:138] Epoch: [12], Info: [{'num_test': 100, 'CV': '0.00686', 'CV_turn': '0.04702', 'ctr': '0.53456', 'len_tra': 11.06, 'R_tra': 5.912278698310256, 'ifeat_feat': 0.40054249547920434, 'NX_0_CV': '0.01134', 'NX_0_CV_turn': '0.03127', 'NX_0_ctr': '0.46966', 'NX_0_len_tra': 27.5, 'NX_0_R_tra': 12.915714430199005, 'NX_0_ifeat_feat': 0.33636363636363636, 'NX_10_CV': '0.00699', 'NX_10_CV_turn': '0.05300', 'NX_10_ctr': '0.46648', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.664826314169914, 'NX_10_ifeat_feat': 0.363}]
[I 230119 08:28:18 utils:138] Epoch: [13], Info: [{'num_test': 100, 'CV': '0.00752', 'CV_turn': '0.05981', 'ctr': '0.47871', 'len_tra': 9.53, 'R_tra': 4.562063733818941, 'ifeat_feat': 0.4197271773347324, 'NX_0_CV': '0.01134', 'NX_0_CV_turn': '0.03185', 'NX_0_ctr': '0.47457', 'NX_0_len_tra': 27.0, 'NX_0_R_tra': 12.813517344929277, 'NX_0_ifeat_feat': 0.33555555555555555, 'NX_10_CV': '0.00738', 'NX_10_CV_turn': '0.05600', 'NX_10_ctr': '0.47832', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.783182672481052, 'NX_10_ifeat_feat': 0.391}]
[I 230119 08:28:41 utils:138] Epoch: [14], Info: [{'num_test': 100, 'CV': '0.00765', 'CV_turn': '0.05556', 'ctr': '0.47624', 'len_tra': 10.44, 'R_tra': 4.971909487098455, 'ifeat_feat': 0.3524904214559387, 'NX_0_CV': '0.01134', 'NX_0_CV_turn': '0.03105', 'NX_0_ctr': '0.44543', 'NX_0_len_tra': 27.7, 'NX_0_R_tra': 12.338409085674211, 'NX_0_ifeat_feat': 0.3310469314079422, 'NX_10_CV': '0.00738', 'NX_10_CV_turn': '0.05600', 'NX_10_ctr': '0.48634', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.863422915209084, 'NX_10_ifeat_feat': 0.382}]
[I 230119 08:29:09 utils:138] Epoch: [15], Info: [{'num_test': 100, 'CV': '0.00633', 'CV_turn': '0.03598', 'ctr': '0.46125', 'len_tra': 13.34, 'R_tra': 6.153138518030755, 'ifeat_feat': 0.3658170914542729, 'NX_0_CV': '0.01068', 'NX_0_CV_turn': '0.02931', 'NX_0_ctr': '0.44325', 'NX_0_len_tra': 27.64, 'NX_0_R_tra': 12.251367345619947, 'NX_0_ifeat_feat': 0.3191027496382055, 'NX_10_CV': '0.00686', 'NX_10_CV_turn': '0.05200', 'NX_10_ctr': '0.46122', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.612212965209037, 'NX_10_ifeat_feat': 0.356}]
[I 230119 08:29:30 utils:138] Epoch: [16], Info: [{'num_test': 100, 'CV': '0.00686', 'CV_turn': '0.03432', 'ctr': '0.50598', 'len_tra': 15.15, 'R_tra': 7.665531441736967, 'ifeat_feat': 0.33003300330033003, 'NX_0_CV': '0.00989', 'NX_0_CV_turn': '0.02727', 'NX_0_ctr': '0.43659', 'NX_0_len_tra': 27.5, 'NX_0_R_tra': 12.006236606072635, 'NX_0_ifeat_feat': 0.32036363636363635, 'NX_10_CV': '0.00620', 'NX_10_CV_turn': '0.04700', 'NX_10_ctr': '0.49164', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.9163936757296325, 'NX_10_ifeat_feat': 0.373}]
[I 230119 08:29:49 utils:138] Epoch: [17], Info: [{'num_test': 100, 'CV': '0.00646', 'CV_turn': '0.03500', 'ctr': '0.48531', 'len_tra': 14.0, 'R_tra': 6.794335256516933, 'ifeat_feat': 0.3314285714285714, 'NX_0_CV': '0.00857', 'NX_0_CV_turn': '0.02363', 'NX_0_ctr': '0.44523', 'NX_0_len_tra': 27.51, 'NX_0_R_tra': 12.248240473214537, 'NX_0_ifeat_feat': 0.3064340239912759, 'NX_10_CV': '0.00633', 'NX_10_CV_turn': '0.04800', 'NX_10_ctr': '0.47289', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.728877732902765, 'NX_10_ifeat_feat': 0.391}]
[I 230119 08:30:08 utils:138] Epoch: [18], Info: [{'num_test': 100, 'CV': '0.00541', 'CV_turn': '0.02548', 'ctr': '0.49203', 'len_tra': 16.09, 'R_tra': 7.916804503425956, 'ifeat_feat': 0.29334990677439404, 'NX_0_CV': '0.00778', 'NX_0_CV_turn': '0.02077', 'NX_0_ctr': '0.40238', 'NX_0_len_tra': 28.41, 'NX_0_R_tra': 11.43173477624543, 'NX_0_ifeat_feat': 0.29496656107004576, 'NX_10_CV': '0.00554', 'NX_10_CV_turn': '0.04200', 'NX_10_ctr': '0.47619', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.761865671155975, 'NX_10_ifeat_feat': 0.366}]
[I 230119 08:30:26 utils:138] Epoch: [19], Info: [{'num_test': 100, 'CV': '0.00607', 'CV_turn': '0.02671', 'ctr': '0.49206', 'len_tra': 17.22, 'R_tra': 8.473323033954948, 'ifeat_feat': 0.3147502903600465, 'NX_0_CV': '0.00752', 'NX_0_CV_turn': '0.02030', 'NX_0_ctr': '0.43896', 'NX_0_len_tra': 28.08, 'NX_0_R_tra': 12.325966024883092, 'NX_0_ifeat_feat': 0.30128205128205127, 'NX_10_CV': '0.00567', 'NX_10_CV_turn': '0.04300', 'NX_10_ctr': '0.47307', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.730743741644546, 'NX_10_ifeat_feat': 0.43}]
[I 230119 08:30:45 utils:138] Epoch: [20], Info: [{'num_test': 100, 'CV': '0.00527', 'CV_turn': '0.02161', 'ctr': '0.48796', 'len_tra': 18.51, 'R_tra': 9.032172531951218, 'ifeat_feat': 0.30740140464613724, 'NX_0_CV': '0.00752', 'NX_0_CV_turn': '0.01970', 'NX_0_ctr': '0.41460', 'NX_0_len_tra': 28.94, 'NX_0_R_tra': 11.998406926188618, 'NX_0_ifeat_feat': 0.278852798894264, 'NX_10_CV': '0.00541', 'NX_10_CV_turn': '0.04100', 'NX_10_ctr': '0.47640', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.763963007507845, 'NX_10_ifeat_feat': 0.409}]
[I 230119 08:31:03 utils:138] Epoch: [21], Info: [{'num_test': 100, 'CV': '0.00554', 'CV_turn': '0.02385', 'ctr': '0.51742', 'len_tra': 17.61, 'R_tra': 9.111768596246838, 'ifeat_feat': 0.35093696763202725, 'NX_0_CV': '0.00686', 'NX_0_CV_turn': '0.01837', 'NX_0_ctr': '0.42932', 'NX_0_len_tra': 28.31, 'NX_0_R_tra': 12.15410937973531, 'NX_0_ifeat_feat': 0.2716354645001766, 'NX_10_CV': '0.00527', 'NX_10_CV_turn': '0.04000', 'NX_10_ctr': '0.48780', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.878026975709945, 'NX_10_ifeat_feat': 0.415}]
