[I 230118 17:45:46 policy_utils:47] {
      "env": "KuaiRand-v0",
      "user_model_name": "DeepFM",
      "model_name": "A2C_with_emb",
      "seed": 4,
      "cuda": 7,
      "is_userinfo": false,
      "cpu": false,
      "is_save": false,
      "use_userEmbedding": false,
      "exploration_noise": false,
      "eps": 0.1,
      "freeze_emb": false,
      "reward_handle": "cat",
      "which_tracker": "avg",
      "embedding_dim": 32,
      "window_size": 3,
      "filter_sizes": [
        2,
        3,
        4
      ],
      "num_filters": 16,
      "dropout_rate": 0.1,
      "num_heads": 1,
      "version": "v1",
      "tau": 0,
      "gamma_exposure": 10,
      "lambda_variance": 0.0,
      "lambda_entropy": 0.0,
      "use_exposure_intervention": false,
      "buffer_size": 100000,
      "lr": 0.001,
      "epoch": 200,
      "batch_size": 1024,
      "hidden_sizes": [
        64,
        64
      ],
      "episode_per_collect": 100,
      "training_num": 100,
      "test_num": 100,
      "render": 0,
      "reward_threshold": null,
      "gamma": 0.9,
      "step_per_epoch": 100000,
      "repeat_per_collect": 1,
      "logdir": "log",
      "vf_coef": 0.5,
      "ent_coef": 0.0,
      "max_grad_norm": null,
      "gae_lambda": 1.0,
      "rew_norm": false,
      "read_message": "pointneg",
      "message": "MBPO_s4",
      "is_binarize": true,
      "need_transform": false,
      "entropy_window": [
        1,
        2
      ],
      "rating_threshold": 1,
      "yfeat": "is_click",
      "leave_threshold": 0.0,
      "num_leave_compute": 4,
      "max_turn": 30,
      "force_length": 10,
      "top_rate": 0.8,
      "hostname": "LDS-12"
    }
[I 230118 17:56:56 utils:138] Epoch: [12], Info: [{'num_test': 100, 'CV': '0.00686', 'CV_turn': '0.05138', 'ctr': '0.44525', 'len_tra': 10.12, 'R_tra': 4.505895252618939, 'ifeat_feat': 0.3547430830039526, 'NX_0_CV': '0.00989', 'NX_0_CV_turn': '0.03053', 'NX_0_ctr': '0.45946', 'NX_0_len_tra': 24.57, 'NX_0_R_tra': 11.288979625906796, 'NX_0_ifeat_feat': 0.3882783882783883, 'NX_10_CV': '0.00712', 'NX_10_CV_turn': '0.05400', 'NX_10_ctr': '0.47394', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.739413043735549, 'NX_10_ifeat_feat': 0.362}]
[I 230118 17:57:33 utils:138] Epoch: [13], Info: [{'num_test': 100, 'CV': '0.00620', 'CV_turn': '0.04493', 'ctr': '0.49525', 'len_tra': 10.46, 'R_tra': 5.180330336969345, 'ifeat_feat': 0.369980879541109, 'NX_0_CV': '0.01015', 'NX_0_CV_turn': '0.03183', 'NX_0_ctr': '0.46052', 'NX_0_len_tra': 24.19, 'NX_0_R_tra': 11.139969735695049, 'NX_0_ifeat_feat': 0.38280281107895825, 'NX_10_CV': '0.00686', 'NX_10_CV_turn': '0.05200', 'NX_10_ctr': '0.49143', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.914320616885089, 'NX_10_ifeat_feat': 0.389}]
[I 230118 17:58:10 utils:138] Epoch: [14], Info: [{'num_test': 100, 'CV': '0.00699', 'CV_turn': '0.04876', 'ctr': '0.47900', 'len_tra': 10.87, 'R_tra': 5.2067528695240615, 'ifeat_feat': 0.35878564857405704, 'NX_0_CV': '0.01160', 'NX_0_CV_turn': '0.03543', 'NX_0_ctr': '0.46310', 'NX_0_len_tra': 24.84, 'NX_0_R_tra': 11.503448777478189, 'NX_0_ifeat_feat': 0.3719806763285024, 'NX_10_CV': '0.00633', 'NX_10_CV_turn': '0.04800', 'NX_10_ctr': '0.46739', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.673860225956887, 'NX_10_ifeat_feat': 0.366}]
[I 230118 17:58:45 utils:138] Epoch: [15], Info: [{'num_test': 100, 'CV': '0.00686', 'CV_turn': '0.05083', 'ctr': '0.49239', 'len_tra': 10.23, 'R_tra': 5.037172609381377, 'ifeat_feat': 0.3655913978494624, 'NX_0_CV': '0.01121', 'NX_0_CV_turn': '0.03238', 'NX_0_ctr': '0.46148', 'NX_0_len_tra': 26.25, 'NX_0_R_tra': 12.113946126494557, 'NX_0_ifeat_feat': 0.35733333333333334, 'NX_10_CV': '0.00659', 'NX_10_CV_turn': '0.05000', 'NX_10_ctr': '0.44285', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.428451311811805, 'NX_10_ifeat_feat': 0.365}]
[I 230118 17:59:19 utils:138] Epoch: [16], Info: [{'num_test': 100, 'CV': '0.00686', 'CV_turn': '0.04883', 'ctr': '0.51152', 'len_tra': 10.65, 'R_tra': 5.447646882617846, 'ifeat_feat': 0.32582159624413143, 'NX_0_CV': '0.01015', 'NX_0_CV_turn': '0.02962', 'NX_0_ctr': '0.44201', 'NX_0_len_tra': 26.0, 'NX_0_R_tra': 11.49237239764072, 'NX_0_ifeat_feat': 0.35423076923076924, 'NX_10_CV': '0.00659', 'NX_10_CV_turn': '0.05000', 'NX_10_ctr': '0.47469', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.746874842662364, 'NX_10_ifeat_feat': 0.352}]
[I 230118 17:59:54 utils:138] Epoch: [17], Info: [{'num_test': 100, 'CV': '0.00554', 'CV_turn': '0.03011', 'ctr': '0.50218', 'len_tra': 13.95, 'R_tra': 7.005345906540751, 'ifeat_feat': 0.34050179211469533, 'NX_0_CV': '0.00844', 'NX_0_CV_turn': '0.02652', 'NX_0_ctr': '0.43486', 'NX_0_len_tra': 24.13, 'NX_0_R_tra': 10.49312572805211, 'NX_0_ifeat_feat': 0.3580605055946954, 'NX_10_CV': '0.00673', 'NX_10_CV_turn': '0.05100', 'NX_10_ctr': '0.47311', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.731108994528186, 'NX_10_ifeat_feat': 0.338}]
[I 230118 18:00:22 utils:138] Epoch: [18], Info: [{'num_test': 100, 'CV': '0.00488', 'CV_turn': '0.02093', 'ctr': '0.53638', 'len_tra': 17.68, 'R_tra': 9.483244258910418, 'ifeat_feat': 0.3009049773755656, 'NX_0_CV': '0.00725', 'NX_0_CV_turn': '0.02082', 'NX_0_ctr': '0.46717', 'NX_0_len_tra': 26.42, 'NX_0_R_tra': 12.342581380447372, 'NX_0_ifeat_feat': 0.32891748675246024, 'NX_10_CV': '0.00501', 'NX_10_CV_turn': '0.03800', 'NX_10_ctr': '0.50196', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 5.019579238519072, 'NX_10_ifeat_feat': 0.323}]
[I 230118 18:00:50 utils:138] Epoch: [19], Info: [{'num_test': 100, 'CV': '0.00580', 'CV_turn': '0.02402', 'ctr': '0.51152', 'len_tra': 18.32, 'R_tra': 9.37108491525054, 'ifeat_feat': 0.32041484716157204, 'NX_0_CV': '0.00673', 'NX_0_CV_turn': '0.01866', 'NX_0_ctr': '0.44739', 'NX_0_len_tra': 27.33, 'NX_0_R_tra': 12.227089111702517, 'NX_0_ifeat_feat': 0.3157702158799854, 'NX_10_CV': '0.00620', 'NX_10_CV_turn': '0.04700', 'NX_10_ctr': '0.45786', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.578599659819156, 'NX_10_ifeat_feat': 0.334}]
[I 230118 18:01:17 utils:138] Epoch: [20], Info: [{'num_test': 100, 'CV': '0.00541', 'CV_turn': '0.02208', 'ctr': '0.50830', 'len_tra': 18.57, 'R_tra': 9.439105646759272, 'ifeat_feat': 0.3769520732364028, 'NX_0_CV': '0.00659', 'NX_0_CV_turn': '0.01908', 'NX_0_ctr': '0.42586', 'NX_0_len_tra': 26.21, 'NX_0_R_tra': 11.161898467796854, 'NX_0_ifeat_feat': 0.3132392216711179, 'NX_10_CV': '0.00514', 'NX_10_CV_turn': '0.03900', 'NX_10_ctr': '0.46611', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.661131454333663, 'NX_10_ifeat_feat': 0.364}]
[I 230118 18:01:45 utils:138] Epoch: [21], Info: [{'num_test': 100, 'CV': '0.00488', 'CV_turn': '0.01538', 'ctr': '0.50060', 'len_tra': 24.05, 'R_tra': 12.039427440641449, 'ifeat_feat': 0.4702702702702703, 'NX_0_CV': '0.00686', 'NX_0_CV_turn': '0.01832', 'NX_0_ctr': '0.44254', 'NX_0_len_tra': 28.39, 'NX_0_R_tra': 12.56382577350363, 'NX_0_ifeat_feat': 0.2807326523423741, 'NX_10_CV': '0.00488', 'NX_10_CV_turn': '0.03700', 'NX_10_ctr': '0.47550', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.755039855130017, 'NX_10_ifeat_feat': 0.374}]
